Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
1960,6,23,00:00,UTC,-1,-1,17.2,21.6,12.2
1960,6,24,00:00,UTC,2,-1,20.4,24.4,12.6
1960,6,25,00:00,UTC,7.9,-1,18.3,23,14.5
1960,6,26,00:00,UTC,1.9,-1,14.6,16.7,13
1960,6,27,00:00,UTC,7.4,-1,15.2,17.8,12.4
1960,6,28,00:00,UTC,0.8,-1,14.3,16.3,12
1960,6,29,00:00,UTC,5.4,-1,14.9,18,12.3
1960,6,30,00:00,UTC,10.3,-1,15.3,20,13
1960,7,1,00:00,UTC,-1,-1,14.5,17.1,12.6
1960,7,2,00:00,UTC,2.3,-1,15.5,18.6,11.4
1960,7,3,00:00,UTC,0.4,-1,17.1,20.4,15.1
1960,7,4,00:00,UTC,0.7,-1,13.1,17.3,10.1
1960,7,5,00:00,UTC,-1,-1,16.2,20.3,11.6
1960,7,6,00:00,UTC,-1,-1,16.4,19.8,12.1
1960,7,7,00:00,UTC,2.7,-1,17.2,19.2,16.1
1960,7,8,00:00,UTC,-1,-1,16.7,19.5,14.3
1960,7,9,00:00,UTC,-1,-1,17.1,21.1,12.2
1960,7,10,00:00,UTC,0.4,-1,20,23.6,16.4
1960,7,11,00:00,UTC,1.4,-1,17.6,20.9,16.9
1960,7,12,00:00,UTC,-1,-1,18.5,20.8,15.6
1960,7,13,00:00,UTC,-1,-1,18.7,21.3,16.6
1960,7,14,00:00,UTC,-1,-1,18.1,21.1,15.6
1960,7,15,00:00,UTC,-1,-1,18.6,23,13
1960,7,16,00:00,UTC,-1,-1,19.2,23.8,15
1960,7,17,00:00,UTC,-1,-1,22.6,26.6,20.2
1960,7,18,00:00,UTC,19.8,-1,20.7,23.8,18.3
1960,7,19,00:00,UTC,-1,-1,19.3,21.8,17.9
1960,7,20,00:00,UTC,7.9,-1,18.3,21.2,15.2
1960,7,21,00:00,UTC,0.4,-1,18,21.6,14.6
1960,7,22,00:00,UTC,12.8,-1,16.7,20.3,13.6
1960,7,23,00:00,UTC,3.4,-1,15.2,18,14
1960,7,24,00:00,UTC,-1,-1,16.6,20.7,11.2
1960,7,25,00:00,UTC,52.9,-1,18.9,21,15.8
1960,7,26,00:00,UTC,0.2,-1,21.1,23.9,17.6
1960,7,27,00:00,UTC,-1,-1,23,26.6,19.4
1960,7,28,00:00,UTC,-1,-1,23.1,26,21.1
1960,7,29,00:00,UTC,0.8,-1,20.2,22.4,18.8
1960,7,30,00:00,UTC,0.9,-1,17.5,18.8,16.4
1960,7,31,00:00,UTC,2.8,-1,18.5,22.9,14
1960,8,1,00:00,UTC,0,-1,19.5,23.2,15.3
1960,8,2,00:00,UTC,0.5,-1,18.4,23.4,14.4
1960,8,3,00:00,UTC,0,-1,15.7,20.8,13.7
1960,8,4,00:00,UTC,-1,-1,13.5,16.2,11.4
1960,8,5,00:00,UTC,-1,-1,14.3,17.3,10.9
1960,8,6,00:00,UTC,-1,-1,15.5,19,9.4
1960,8,7,00:00,UTC,-1,-1,17.4,20.3,14
1960,8,8,00:00,UTC,0.1,-1,19.2,22.4,15
1960,8,9,00:00,UTC,0,-1,19.1,20.7,16.1
1960,8,10,00:00,UTC,0.8,-1,18,20.1,17
1960,8,11,00:00,UTC,0.2,-1,17,19.4,15.6
1960,8,12,00:00,UTC,9.8,-1,17.8,20.2,15.7
1960,8,13,00:00,UTC,7.5,-1,18.8,22.4,16.8
1960,8,14,00:00,UTC,0.5,-1,19.8,23,17.4
1960,8,15,00:00,UTC,9.5,-1,17.2,20.6,15.9
1960,8,16,00:00,UTC,1.8,-1,17.4,19.5,15.4
1960,8,17,00:00,UTC,-1,-1,17.2,19.5,15.4
1960,8,18,00:00,UTC,-1,-1,16.3,20.3,11.5
1960,8,19,00:00,UTC,5.7,-1,15.1,18.1,11
1960,8,20,00:00,UTC,13,-1,15.8,16.7,14.8
1960,8,21,00:00,UTC,7.2,-1,14.8,16.2,13.5
1960,8,22,00:00,UTC,-1,-1,15.6,18.5,14.2
1960,8,23,00:00,UTC,-1,-1,15.2,17.4,10.7
1960,8,24,00:00,UTC,-1,-1,16.8,18,15.5
1960,8,25,00:00,UTC,0,-1,15.6,17.6,13.9
1960,8,26,00:00,UTC,-1,-1,14.9,19,9.6
1960,8,27,00:00,UTC,0,-1,17,21.6,13.2
1960,8,28,00:00,UTC,-1,-1,14.7,19.6,9.5
1960,8,29,00:00,UTC,8.4,-1,15.1,17.8,12.8
1960,8,30,00:00,UTC,33.7,-1,10.5,15.4,9
1960,8,31,00:00,UTC,1.5,-1,10.9,14.6,9.6
1960,9,1,00:00,UTC,2.4,-1,12.5,15.5,8
1960,9,2,00:00,UTC,7.9,-1,13.1,16.3,10.6
1960,9,3,00:00,UTC,0.3,-1,12.8,16.1,9.3
1960,9,4,00:00,UTC,4.2,-1,12.1,16,7.6
1960,9,5,00:00,UTC,30.5,-1,12.5,14.1,10.9
1960,9,6,00:00,UTC,1.2,-1,11.2,12.8,10
1960,9,7,00:00,UTC,6.2,-1,10.5,13.2,8.6
1960,9,8,00:00,UTC,0,-1,10.8,13.2,7.6
1960,9,9,00:00,UTC,-1,-1,10.1,13.4,7
1960,9,10,00:00,UTC,-1,-1,9.9,13.3,6
1960,9,11,00:00,UTC,-1,-1,9.5,13.8,4.9
1960,9,12,00:00,UTC,0,-1,13,16.6,7.3
1960,9,13,00:00,UTC,-1,-1,14.9,17.8,12.1
1960,9,14,00:00,UTC,-1,-1,15.4,18.2,13.4
1960,9,15,00:00,UTC,-1,-1,14.5,18,11.6
1960,9,16,00:00,UTC,-1,-1,12.5,14.2,8.4
1960,9,17,00:00,UTC,-1,-1,13.8,15.8,12.2
1960,9,18,00:00,UTC,-1,-1,12.1,15.3,8.8
1960,9,19,00:00,UTC,-1,-1,12.7,16.2,8.7
1960,9,20,00:00,UTC,-1,-1,13.8,15.4,12.4
1960,9,21,00:00,UTC,-1,-1,13.4,14.6,11.6
1960,9,22,00:00,UTC,-1,-1,13.5,14.8,11.6
1960,9,23,00:00,UTC,-1,-1,12,14.6,9
1960,9,24,00:00,UTC,-1,-1,13.1,14.8,11.1
1960,9,25,00:00,UTC,13.2,-1,12.9,13.7,11
1960,9,26,00:00,UTC,4.8,-1,10.4,13.6,7.1
1960,9,27,00:00,UTC,-1,-1,10.9,12.1,10.1
1960,9,28,00:00,UTC,0.6,-1,7.5,10.2,6.1
1960,9,29,00:00,UTC,1.3,-1,5.1,6.6,4.4
1960,9,30,00:00,UTC,-1,-1,6,8.5,4.2
1960,10,1,00:00,UTC,-1,-1,5,9.3,1.4
1960,10,2,00:00,UTC,-1,-1,6.9,11.5,3.8
1960,10,3,00:00,UTC,-1,-1,8.9,12.8,2
1960,10,4,00:00,UTC,2.2,-1,10,12,8.4
1960,10,5,00:00,UTC,1.2,-1,9.2,10.8,7.2
1960,10,6,00:00,UTC,0.2,-1,8.7,10.1,6.7
1960,10,7,00:00,UTC,2.1,-1,7.5,10.2,5.5
1960,10,8,00:00,UTC,-1,-1,8.4,9.4,5.8
1960,10,9,00:00,UTC,1.9,-1,9.4,10,8.9
1960,10,10,00:00,UTC,10.9,-1,10,10.4,8.1
1960,10,11,00:00,UTC,1.4,-1,11,13,9.7
1960,10,12,00:00,UTC,-1,-1,9.6,11.6,9
1960,10,13,00:00,UTC,-1,-1,6.8,9.4,4.9
1960,10,14,00:00,UTC,-1,-1,4.7,5.9,4
1960,10,15,00:00,UTC,-1,-1,3.4,5.4,2
1960,10,16,00:00,UTC,-1,-1,3,4.5,0.8
1960,10,17,00:00,UTC,-1,-1,4,4.4,2.2
1960,10,18,00:00,UTC,-1,-1,4.6,5.8,2.5
1960,10,19,00:00,UTC,0.1,-1,4.5,5.4,3.1
1960,10,20,00:00,UTC,1.5,-1,4.7,6.1,3.8
1960,10,21,00:00,UTC,-1,-1,3.7,6,2.8
1960,10,22,00:00,UTC,0,-1,1.5,3.7,-0.4
1960,10,23,00:00,UTC,-1,-1,-0.1,2.1,-3
1960,10,24,00:00,UTC,-1,-1,1.4,4.2,-3.4
1960,10,25,00:00,UTC,-1,-1,2.3,4.4,0.9
1960,10,26,00:00,UTC,0.3,-1,2.2,4.2,-2
1960,10,27,00:00,UTC,-1,-1,0.8,3.8,-0.8
1960,10,28,00:00,UTC,0.1,-1,0.9,1.8,-1
